id;nome;parentesco;coabita;telef;ocupacao;obs;preferencial
1;benchmark SSL;sticky;true;60771;Cotton ROI;Bangladesh;true
2;Keyboard Lead;Soap mint green Borders;true;41078;firewall cross-platform Plains;Gloves;true
3;programming multi-tasking;circuit Officer front-end;true;73396;Gorgeous Wooden Car;time-frame transition Cambridgeshire;false
4;Movies copy;experiences;false;39405;Switzerland overriding zero defect;navigating;false
5;hacking;Baby Investment Account SCSI;true;57398;Credit Card Account;Wyoming Realigned;false
6;Practical Concrete Dominican Peso;Shirt;false;93851;pixel action-items;Health quantify connect;true
7;Innovative Tactics niches;IB;true;98909;green instruction set withdrawal;Incredible Assistant Money Market Account;true
8;Intelligent compress primary;Expressway gold;false;21686;bypass;solid state;true
9;Ergonomic Fresh Chips Data;Auto Loan Account Pizza;false;49073;Assurance;transmit Assistant;false
10;Svalbard & Jan Mayen Islands;human-resource Table;false;46189;Buckinghamshire Outdoors Sudanese Pound;Land asynchronous Plastic;true
