id;nome;data_nasc;altura;morada;cod_post;freguesia;nif;med_fam;sexo;telef;telef_2;doc_id;n_benef;n_utente;num_proc_hosp
1;Jamaica invoice Circle;2020-08-17;17042;Reduced Consultant Rustic;Fresh Fantastic Metal Shirt;Distributed;64029;Regional bi-directional indexing;Feminino;64569;42052;22385;47817;12355;86260
2;Unbranded Rustic Metal Chair;2020-08-17;59255;Analyst Wooden Movies;bypassing SCSI Gold;Ball Yen RSS;8925;driver;Feminino;33223;77059;5346;93520;14642;93258
3;architect Chips;2020-08-17;78788;Investor lavender;JSON Gloves;Frozen Granite;33208;Product;Masculino;82685;62348;41859;91929;80735;73833
4;salmon heuristic Missouri;2020-08-16;31753;Functionality Persistent;Cliff Junction Pitcairn Islands;Dynamic;12530;deposit Pitcairn Islands Personal Loan Account;Feminino;4649;17149;67285;71209;63357;50589
5;driver Coordinator Money Market Account;2020-08-17;84895;Operations index;Personal Loan Account users Awesome Frozen Hat;interactive;10140;sensor;Masculino;42344;783;67448;75000;73446;393
6;parsing payment Consultant;2020-08-16;8284;Station sensor Senior;input Investment Account;Keyboard;7717;Handmade;Feminino;98515;54694;14377;66543;63239;22663
7;Personal Loan Account Rustic;2020-08-17;6098;interactive;Brooks Bedfordshire;violet deploy Generic Frozen Shoes;99338;bypassing;Masculino;52245;619;13921;42832;14849;58339
8;transform;2020-08-17;33432;Associate Personal Loan Account data-warehouse;Mouse Ohio sexy;Leone Wells strategic;20029;Kids Luxembourg;Feminino;21372;6191;6847;68333;35498;57720
9;Concrete Agent Washington;2020-08-17;40355;CSS primary;Pike;gold;65105;programming Rustic Shoes;Feminino;38172;9333;37834;30361;49388;87526
10;Automotive Won;2020-08-17;40222;Cambridgeshire Czech Republic;redundant;system asymmetric;29245;eyeballs virtual portals;Feminino;97518;97651;61387;3363;78428;38563
