id;activo;nome;morada;cod_p;telef;permiss_change;nif
1;false;azure Frozen microchip;New Mexico;grow Officer;Cotton Virginia Future-proofed;true;76390
2;false;Islands RAM;Devolved Auto Loan Account e-tailers;Practical Soft Soap payment Program;Graphical User Interface real-time Legacy;true;25553
3;false;Iowa;e-commerce withdrawal Hat;Cambridgeshire;Gardens;false;62491
4;true;vortals orange Awesome;Algeria Mouse Coordinator;redundant Director;Personal Loan Account Accounts Mandatory;true;45220
5;true;Brunei Darussalam Advanced;redundant Kentucky productize;installation Cotton;Liechtenstein;true;6765
6;true;Investment Account e-markets Texas;driver;Ergonomic Credit Card Account;1080p;true;96340
7;true;Games Intranet initiatives;Ohio Unbranded Concrete Table Bedfordshire;Brazilian Real;User-centric Face to face turquoise;true;7763
8;false;hard drive Shoal;5th generation Networked Chief;wireless;Mountains multi-byte;false;30334
9;true;expedite primary;copy installation THX;invoice contextually-based proactive;PNG e-markets e-enable;false;52327
10;true;calculate;payment;Cordoba Oro Port;wireless Awesome;true;42679
